State,District,2.delta7.vaccinated1,2.delta7.vaccinated2,population,2.total.vaccinated1,2.total.vaccinated2,2.delta.vaccinated2,2.delta.vaccinated1,2.delta21_14.confirmed,2.delta7.confirmed,2.delta7.recovered,2.total.confirmed,2.total.deceased,2.total.recovered,2.delta.confirmed,2.delta.recovered,2.meta.tested.date,totaltested,2.delta.deceased,2.delta7.deceased,2.total.other,2.delta.tested,2.delta7.tested,2.meta.vaccinated.date,2.delta7.other,2.delta.other,TestingRatio,"TestingRatio Category"
CT,Surajpur,13506,13873,660280,419247,163526,322,442,1,0,0,29029,224,28805,0,0,"14-06-2020 00:00",1830,0,0,0,0,0,0,0,0,0.0028,"Very Low"
CT,Surguja,29827,33226,420661,468885,277031,1834,1831,2,2,0,33673,245,33426,0,0,"18-11-2020 00:00",103578,0,0,0,0,0,0,0,0,0.2462,"Category B"
CT,"Uttar Bastar Kanker",17930,14621,748593,405744,171484,645,995,4,3,1,23636,224,23407,0,0,"14-06-2020 00:00",2051,0,0,0,0,0,0,0,0,0.0027,"Very Low"
DN,"Dadra and Nagar Haveli",870,6759,343709,387772,183553,18,3,2,0,0,5920,3,5910,0,0,"20-10-2020 00:00",44813,0,0,5,0,0,0,0,0,0.1304,"Category B"
DN,Daman,1880,6793,191173,234202,155547,0,0,2,0,2,3543,1,3516,0,1,"20-10-2020 00:00",19338,0,0,26,0,0,0,0,0,0.1012,"Category B"
DN,Diu,52,690,52074,38779,31153,0,0,0,0,0,1218,0,1218,0,0,"20-10-2020 00:00",8259,0,0,0,0,0,0,0,0,0.1586,"Category B"
GA,"North Goa",4007,23958,817761,600586,424066,5967,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
GA,"South Goa",4401,22504,639962,661972,487016,6405,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
GA,Unknown,0,0,0,0,0,0,0,409,222,409,178108,3364,174392,23,53,0,0,0,6,0,0,0,0,0,0,NULL,"Very Low"
GJ,Ahmedabad,47316,169891,7208200,5961594,3439921,11394,1765,29,22,14,238334,3411,234889,4,2,"02-02-2021 00:00",2556492,0,0,0,0,0,0,0,0,0.3547,"Category C"
GJ,Amreli,5473,39398,1513614,927389,551970,3792,399,0,0,0,10810,102,10708,0,0,"02-02-2021 00:00",212265,0,0,0,0,0,0,0,0,0.1402,"Category B"
GJ,Anand,33012,46764,2090276,1471865,935893,2866,4876,0,6,1,9637,49,9581,0,0,"02-02-2021 00:00",171851,0,0,0,0,0,0,0,0,0.0822,"Category A"
GJ,Aravalli,1439,32201,1051746,717964,522361,106,2,0,0,0,5186,78,5108,0,0,"02-02-2021 00:00",122182,0,0,0,0,0,0,0,0,0.1162,"Category B"
GJ,Banaskantha,16080,82985,3116045,2140492,1157901,3521,390,0,0,0,13631,162,13469,0,0,"02-02-2021 00:00",218527,0,0,0,0,0,0,0,0,0.0701,"Category A"
GJ,Bharuch,21270,45926,1550822,1217587,669742,2936,1539,0,0,0,11426,118,11308,0,0,"02-02-2021 00:00",156057,0,0,0,0,0,0,0,0,0.1006,"Category B"
